#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-02-16;Thaïlande;34;0;14;0.00;41.18;58.82
2020-02-16;Taïwan;20;1;2;5.00;10.00;85.00
2020-02-16;États-Unis;15;0;3;0.00;20.00;80.00
2020-02-16;Viet Nam;16;0;7;0.00;43.75;56.25
2020-02-16;Autres;355;0;0;0.00;0.00;100.00
2020-02-15;Autres;285;0;0;0.00;0.00;100.00
2020-02-15;Viet Nam;16;0;7;0.00;43.75;56.25
2020-02-15;États-Unis;15;0;3;0.00;20.00;80.00
2020-02-15;Taïwan;18;0;2;0.00;11.11;88.89
2020-02-15;Thaïlande;33;0;12;0.00;36.36;63.64
2020-02-15;Suède;1;0;0;0.00;0.00;100.00
2020-02-15;Singapour;72;0;18;0.00;25.00;75.00
2020-02-15;Philippines;3;1;1;33.33;33.33;33.33
2020-02-15;Fédération de Russie;2;0;2;0.00;100.00;0.00
2020-02-15;Malaisie;22;0;7;0.00;31.82;68.18
2020-02-15;Népal;1;0;1;0.00;100.00;0.00
2020-02-15;Macao;10;0;3;0.00;30.00;70.00
2020-02-15;Sri Lanka;1;0;1;0.00;100.00;0.00
2020-02-15;Corée du Sud;28;0;9;0.00;32.14;67.86
2020-02-15;Italie;3;0;0;0.00;0.00;100.00
2020-02-15;Cambodge;1;0;1;0.00;100.00;0.00
2020-02-15;Japon;43;1;12;2.33;27.91;69.77
2020-02-15;Inde;3;0;0;0.00;0.00;100.00
2020-02-15;Hong-Kong;56;1;1;1.79;1.79;96.43
2020-02-15;Royaume-Uni;9;0;1;0.00;11.11;88.89
2020-02-15;France;12;1;4;8.33;33.33;58.33
2020-02-15;Finlande;1;0;1;0.00;100.00;0.00
2020-02-15;Égypte;1;0;0;0.00;0.00;100.00
2020-02-15;Espagne;2;0;2;0.00;100.00;0.00
2020-02-15;Allemagne;16;0;1;0.00;6.25;93.75
2020-02-15;Chine;68347;1662;9294;2.43;13.60;83.97
2020-02-15;Canada;7;0;1;0.00;14.29;85.71
2020-02-15;Belgique;1;0;0;0.00;0.00;100.00
2020-02-15;Australie;15;0;8;0.00;53.33;46.67
2020-02-15;Émirats Arabes Unis;8;0;3;0.00;37.50;62.50
2020-02-14;Émirats Arabes Unis;8;0;1;0.00;12.50;87.50
2020-02-14;Australie;15;0;8;0.00;53.33;46.67
2020-02-14;Belgique;1;0;0;0.00;0.00;100.00
2020-02-14;Canada;7;0;1;0.00;14.29;85.71
2020-02-14;Chine;66292;1520;7973;2.29;12.03;85.68
2020-02-14;Allemagne;16;0;1;0.00;6.25;93.75
